user_id,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17
0,full_active,0,1,1,514,500+,150,"[100,1k)",34,"[30,60)",799,730+,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0
1,full_active,0,-124,1,457,"(250,500]",20,"[10,100)",3,"[1,5)",1474,730+,1,3,2,1160,4.0,0,0,31,283,6,2,2,1.0,0.0,1.0,0.0,0.0,0.0
2,full_active,0,-124,1,8,"(0,10]",26,"[10,100)",3,"[1,5)",231,181-365,1,0,2,1176,2.0,0,0,31,275,5,2,2,0.0,0.0,0.0,1.0,0.0,0.0
3,full_active,0,1,1,91,"(50,100]",2166,"[1k,5k)",14,"[5,30)",2145,730+,0,2,2,1153,4.0,0,0,15,118,6,2,2,1.0,0.0,0.0,0.0,0.0,0.0
4,full_active,0,-124,1,261,"(250,500]",10,"[10,100)",4,"[1,5)",764,730+,0,6,28,27,,0,0,19,378,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
5,full_active,0,-124,1,15,"(10,50]",23,"[10,100)",2,"[1,5)",1495,730+,1,3,19,578,1.0,0,1,44,101,5,3,0,1.0,0.0,1.0,0.0,0.0,0.0
6,full_active,0,-124,0,75,"(50,100]",26,"[10,100)",23,"[5,30)",825,730+,0,5,10,79,0.0,0,0,24,264,4,2,0,1.0,0.0,0.0,0.0,0.0,0.0
7,full_active,0,-124,1,2103,500+,56,"[10,100)",43,"[30,60)",1857,730+,1,4,29,955,3.0,0,0,19,396,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
8,high_active,0,-124,1,265,"(250,500]",27,"[10,100)",12,"[5,30)",1137,730+,1,1,29,906,1.0,0,0,13,188,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0
9,high_active,0,-124,0,71,"(50,100]",0,0,0,0,950,730+,0,2,10,1021,1.0,0,1,44,400,5,0,0,1.0,0.0,0.0,0.0,0.0,0.0
10,2_14_day_new,0,-124,1,54,"(50,100]",6,"[1,10)",3,"[1,5)",25,15-30,0,4,19,578,1.0,0,1,9,310,3,3,0,1.0,1.0,0.0,0.0,0.0,0.0
11,full_active,0,-124,1,22,"(10,50]",9,"[1,10)",0,0,1389,730+,1,4,10,269,2.0,0,0,15,274,6,2,0,1.0,0.0,1.0,0.0,0.0,0.0
12,middle_active,0,-124,1,420,"(250,500]",254,"[100,1k)",229,"[120,250)",1092,730+,0,3,19,648,2.0,0,1,2,399,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,middle_active,0,1,1,421,"(250,500]",743,"[100,1k)",389,250+,1786,730+,1,1,2,1156,5.0,0,1,43,47,3,3,2,0.0,0.0,0.0,0.0,0.0,0.0
14,full_active,0,-124,1,217,"(150,250]",34,"[10,100)",17,"[5,30)",1190,730+,1,5,19,621,1.0,0,0,31,42,6,3,0,0.0,0.0,1.0,0.0,0.0,0.0
15,full_active,0,1,1,451,"(250,500]",717,"[100,1k)",436,250+,1630,730+,0,2,29,964,1.0,0,0,26,408,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0
16,full_active,0,-124,1,47,"(10,50]",197,"[100,1k)",47,"[30,60)",1676,730+,0,2,19,595,1.0,0,1,8,349,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0
17,high_active,0,-124,0,14,"(10,50]",0,0,0,0,77,61-90,1,1,29,1325,2.0,0,1,9,167,1,3,0,1.0,1.0,0.0,0.0,0.0,0.0
18,full_active,0,1,1,740,500+,89,"[10,100)",62,"[60,120)",1610,730+,1,4,19,622,1.0,0,0,19,387,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
19,full_active,0,-124,1,309,"(250,500]",802,"[100,1k)",304,250+,1702,730+,0,2,2,1152,3.0,0,1,18,293,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0
20,high_active,0,-124,0,5,"(0,10]",1,"[1,10)",0,0,53,31-60,0,4,9,181,5.0,0,0,7,190,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
21,full_active,0,-124,1,53,"(50,100]",51,"[10,100)",9,"[5,30)",1204,730+,1,4,31,753,0.0,0,0,31,432,4,2,0,1.0,0.0,0.0,0.0,0.0,0.0
22,full_active,0,-124,1,1533,500+,150,"[100,1k)",47,"[30,60)",1008,730+,0,4,29,909,1.0,0,1,43,211,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
23,full_active,0,1,1,1935,500+,627,"[100,1k)",432,250+,1503,730+,1,4,19,611,1.0,0,0,7,427,1,3,0,1.0,0.0,1.0,0.0,0.0,0.0
24,middle_active,0,-124,1,266,"(250,500]",454,"[100,1k)",262,250+,1849,730+,0,1,29,920,1.0,0,1,8,181,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0
25,high_active,0,-124,0,54,"(50,100]",2,"[1,10)",0,0,334,181-365,0,4,29,920,1.0,0,0,42,63,1,4,0,1.0,0.0,1.0,0.0,0.0,0.0
26,full_active,0,1,1,171,"(150,250]",1372,"[1k,5k)",170,"[120,250)",1143,730+,0,2,29,931,1.0,0,0,42,72,1,4,0,0.0,0.0,0.0,0.0,0.0,0.0
27,middle_active,0,-124,0,46,"(10,50]",0,0,0,0,80,61-90,1,1,19,567,0.0,0,0,30,185,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0
28,full_active,0,-124,1,405,"(250,500]",277,"[100,1k)",199,"[120,250)",1142,730+,1,5,9,278,2.0,0,0,19,387,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
29,high_active,0,1,1,44,"(10,50]",21,"[10,100)",12,"[5,30)",1543,730+,0,4,10,604,2.0,0,0,1,82,2,4,0,0.0,0.0,1.0,0.0,0.0,0.0
30,full_active,0,1,1,490,"(250,500]",121,"[100,1k)",15,"[5,30)",1720,730+,0,4,2,1152,3.0,0,1,2,399,4,2,2,1.0,0.0,0.0,0.0,0.0,0.0
31,full_active,0,-124,1,402,"(250,500]",81,"[10,100)",36,"[30,60)",1127,730+,1,6,29,1403,3.0,0,1,44,400,5,3,0,0.0,0.0,1.0,0.0,0.0,0.0
32,middle_active,0,-124,1,1486,500+,4,"[1,10)",1,"[1,5)",1311,730+,1,1,2,1136,2.0,0,1,21,157,3,0,1,1.0,0.0,1.0,0.0,0.0,0.0
33,middle_active,0,1,1,553,500+,762,"[100,1k)",544,250+,344,181-365,0,2,19,559,2.0,0,0,15,32,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0
34,high_active,0,1,1,253,"(250,500]",452,"[100,1k)",249,"[120,250)",1315,730+,1,1,2,1175,2.0,0,1,8,209,6,3,2,0.0,0.0,0.0,0.0,0.0,0.0
35,high_active,0,-124,1,336,"(250,500]",94,"[10,100)",68,"[60,120)",1531,730+,0,5,29,891,1.0,0,0,7,154,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0
36,full_active,0,1,1,1972,500+,1089,"[1k,5k)",834,250+,1302,730+,1,5,29,929,2.0,0,0,26,108,1,3,0,1.0,0.0,1.0,0.0,0.0,0.0
37,high_active,0,-124,1,1011,500+,1211,"[1k,5k)",921,250+,492,366-730,0,0,10,200,0.0,0,0,31,343,3,2,0,0.0,1.0,0.0,0.0,0.0,0.0
38,high_active,0,-124,1,476,"(250,500]",20,"[10,100)",13,"[5,30)",1028,730+,0,1,19,580,1.0,0,1,0,160,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0
39,full_active,0,-124,1,444,"(250,500]",3,"[1,10)",1,"[1,5)",1102,730+,0,4,10,398,0.0,0,0,14,116,5,2,0,1.0,0.0,0.0,0.0,0.0,0.0
40,full_active,0,-124,1,331,"(250,500]",5,"[1,10)",1,"[1,5)",750,730+,0,4,19,648,2.0,0,0,24,433,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0
41,full_active,0,-124,1,355,"(250,500]",121,"[100,1k)",15,"[5,30)",2059,730+,0,4,10,288,1.0,0,0,15,297,1,3,0,1.0,1.0,0.0,0.0,0.0,0.0
42,full_active,0,-124,0,23,"(10,50]",1,"[1,10)",1,"[1,5)",897,730+,0,4,31,385,1.0,0,1,8,209,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0
43,full_active,0,-124,1,47,"(10,50]",8,"[1,10)",1,"[1,5)",2527,730+,0,4,2,1159,3.0,0,1,18,244,6,2,2,1.0,0.0,0.0,0.0,0.0,0.0
44,full_active,0,-124,1,263,"(250,500]",90,"[10,100)",31,"[30,60)",1839,730+,1,3,29,925,0.0,0,0,19,111,6,4,0,1.0,0.0,1.0,0.0,0.0,0.0
45,full_active,0,-124,1,989,500+,101,"[100,1k)",88,"[60,120)",1374,730+,1,2,31,754,1.0,0,1,17,253,4,2,0,1.0,0.0,0.0,0.0,0.0,0.0
