video_id,author_id,video_type,upload_dt,upload_type,visible_status,video_duration,server_width,server_height,music_id,music_type,tag
0,7349781,NORMAL,2022-04-10,LongImport,0.0,87433.0,720.0,1280.0,9155697141,9.0,39
1,2103883,NORMAL,2022-04-10,Kmovie,0.0,218066.0,720.0,1280.0,6355810746,9.0,2
2,5067285,NORMAL,2022-04-09,ShortImport,0.0,9233.0,720.0,1280.0,6618412736,4.0,1
3,7048760,NORMAL,2022-04-11,Web,0.0,16433.0,720.0,1280.0,9161677205,9.0,7
4,8635271,NORMAL,2022-04-09,Web,0.0,38766.0,720.0,1280.0,9141092381,9.0,9
5,8367059,NORMAL,2022-04-10,Web,0.0,358016.0,960.0,720.0,9148581891,9.0,"20,43"
6,7242897,NORMAL,2022-04-09,Kmovie,0.0,114500.0,720.0,960.0,4130247268,9.0,3
7,7676925,NORMAL,2022-04-10,LongPicture,0.0,,720.0,1440.0,6355540435,8.0,"20,67"
8,8496788,AD,2022-04-09,UNKNOWN,0.0,150366.0,720.0,1280.0,0,,39
9,3499857,NORMAL,2022-04-10,LongImport,0.0,61933.0,720.0,1280.0,6812771090,9.0,"62,7"
10,3788873,NORMAL,2022-04-10,LongImport,0.0,60816.0,720.0,1280.0,5128322557,4.0,7
11,7153443,NORMAL,2022-04-09,Web,0.0,137480.0,1280.0,720.0,9146200881,9.0,"39,43"
12,7048760,NORMAL,2022-04-11,Web,0.0,20200.0,720.0,1280.0,9162013696,9.0,7
13,1687344,NORMAL,2022-04-10,Web,0.0,174839.0,1280.0,720.0,9152269366,9.0,"12,62"
14,3122566,NORMAL,2022-04-10,LongImport,0.0,25366.0,720.0,1280.0,9156994653,9.0,"62,5"
15,7119869,NORMAL,2022-04-09,ShortImport,0.0,19464.0,720.0,1280.0,9143367581,9.0,2
16,7705594,NORMAL,2022-04-10,Web,0.0,133480.0,720.0,1280.0,9158122342,9.0,38
17,8407292,NORMAL,2022-04-09,LongImport,0.0,33700.0,720.0,1280.0,9144240648,9.0,6
18,5857313,NORMAL,2022-04-11,Kmovie,0.0,127607.0,720.0,1280.0,9163214430,9.0,3
19,4143746,NORMAL,2022-04-09,ShortImport,0.0,18366.0,720.0,1280.0,9138610320,9.0,39
20,6243661,NORMAL,2022-04-11,LongImport,0.0,97633.0,720.0,1280.0,9163595636,9.0,7
21,8187841,NORMAL,2022-04-11,Web,0.0,105666.0,1048.0,720.0,9162032834,9.0,"42,18"
22,5871071,NORMAL,2022-04-09,PictureSet,0.0,,1136.0,1342.0,7737169049,4.0,"67,7"
23,7188628,NORMAL,2022-04-09,LongImport,0.0,142633.0,720.0,1280.0,9143290241,9.0,9
24,6059108,NORMAL,2022-04-10,Kmovie,0.0,200716.0,720.0,1280.0,9148855710,9.0,"39,68"
25,1907691,NORMAL,2022-04-09,LongImport,0.0,39640.0,720.0,1084.0,9139543528,9.0,3
26,6648932,NORMAL,2022-04-10,Web,0.0,28800.0,720.0,1280.0,8147149453,4.0,7
27,5722201,NORMAL,2022-04-10,LongPicture,0.0,,664.0,1440.0,9108365500,9.0,"67,6"
28,6666752,NORMAL,2022-04-09,ShortCamera,0.0,11511.0,720.0,1280.0,9107419068,4.0,1
29,7443717,NORMAL,2022-04-09,LongImport,0.0,200000.0,720.0,1280.0,9139097922,9.0,36
30,8653987,NORMAL,2022-04-09,Web,0.0,182933.0,720.0,1280.0,9147072791,9.0,7
31,4620849,NORMAL,2022-04-09,ShortImport,0.0,13533.0,720.0,1280.0,5128196645,4.0,17
32,6034888,NORMAL,2022-04-09,LongImport,0.0,182016.0,720.0,960.0,9141970371,9.0,"62,4"
33,7012224,NORMAL,2022-04-10,Kmovie,0.0,165083.0,720.0,960.0,9154000106,9.0,3
34,45070,NORMAL,2022-04-10,ShortImport,0.0,12016.0,720.0,1280.0,9156858929,9.0,7
35,7621703,NORMAL,2022-04-09,Kmovie,0.0,9400.0,1280.0,720.0,9141869667,9.0,19
36,6942352,NORMAL,2022-04-10,ShortImport,0.0,7583.0,720.0,1280.0,9151684434,9.0,7
37,7550200,NORMAL,2022-04-09,Web,0.0,716116.0,1280.0,720.0,9146210341,9.0,3
38,2436,NORMAL,2022-04-10,LongImport,0.0,86333.0,720.0,1280.0,9151253421,9.0,12
39,7252043,NORMAL,2022-04-10,Web,0.0,15840.0,720.0,1280.0,9150285708,9.0,27
40,617568,NORMAL,2022-04-09,Web,0.0,181800.0,1280.0,720.0,9141941213,9.0,3
41,566,NORMAL,2022-04-10,ShortImport,0.0,10933.0,720.0,1280.0,9156106083,9.0,5
42,20467,NORMAL,2022-04-11,ShortImport,0.0,14483.0,720.0,1280.0,9161648770,9.0,1
43,8289602,NORMAL,2022-04-11,LongImport,0.0,332400.0,1280.0,720.0,9166939807,9.0,12
44,2359097,NORMAL,2022-04-10,Kmovie,0.0,239700.0,720.0,1280.0,7816593440,4.0,2
45,3284872,NORMAL,2022-04-09,Web,0.0,179600.0,960.0,720.0,9141607685,9.0,"39,43"
46,7534404,NORMAL,2022-04-11,Web,0.0,66000.0,1280.0,720.0,9167523420,9.0,"39,68"
47,7118443,NORMAL,2022-04-10,Kmovie,0.0,99316.0,720.0,1282.0,4754999406,4.0,15
48,493947,NORMAL,2022-04-09,Kmovie,0.0,308050.0,720.0,1280.0,9143607436,9.0,9
49,4506909,NORMAL,2022-04-10,Kmovie,0.0,9258.0,720.0,1280.0,7419820402,4.0,1
50,8087025,NORMAL,2022-04-11,ShortImport,0.0,11000.0,720.0,1280.0,9165037426,9.0,39
51,5281979,NORMAL,2022-04-11,LongImport,0.0,67000.0,720.0,1280.0,0,,6
52,8267600,NORMAL,2022-04-10,ShortImport,0.0,8666.0,720.0,960.0,9149149701,9.0,7
53,6838476,NORMAL,2022-04-09,Web,0.0,69200.0,1280.0,720.0,9140267901,9.0,3
54,4983260,NORMAL,2022-04-11,LongImport,0.0,201166.0,720.0,1280.0,9167425848,9.0,12
55,8020359,NORMAL,2022-04-09,LongImport,0.0,218766.0,1280.0,720.0,9143658324,9.0,"39,43"
56,5545525,NORMAL,2022-04-10,LongImport,0.0,291833.0,720.0,1280.0,9156882705,9.0,12
57,7003977,NORMAL,2022-04-10,LongImport,0.0,25800.0,720.0,1280.0,9156852736,9.0,1
58,6848337,NORMAL,2022-04-09,LongImport,0.0,149816.0,720.0,1280.0,9147113812,9.0,"42,18"
59,5279645,NORMAL,2022-04-11,LongImport,0.0,30033.0,720.0,1280.0,0,,6
60,543993,NORMAL,2022-04-09,ShortImport,0.0,,1029.0,1440.0,6201710976,4.0,27
61,5664998,NORMAL,2022-04-10,Web,0.0,36911.0,720.0,1280.0,9154574656,9.0,11
62,7549471,NORMAL,2022-04-09,Web,0.0,169500.0,720.0,1280.0,9144557882,9.0,20
63,4744093,NORMAL,2022-04-10,LongImport,0.0,34416.0,720.0,1280.0,9154221748,9.0,20
64,5926590,NORMAL,2022-04-10,Web,0.0,10133.0,720.0,1280.0,7668799166,4.0,12
